         16405355 function calls (16302465 primitive calls) in 18.516 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   15.430   15.430 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:945(SynthesiseSWD)
       12    0.002    0.000   15.430    1.286 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:1050(_FindMinValueSecularFunctionFine)
      223    2.028    0.009   15.425    0.069 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:1091(_Secular)
   113953    0.262    0.000    9.115    0.000 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\matlab.py:28(mldivide)
   113953    2.853    0.000    8.853    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:1813(lstsq)
       12    0.000    0.000    7.188    0.599 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\matlab.py:18(findmin)
       12    0.000    0.000    7.188    0.599 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\optimize\optimize.py:1927(brent)
       12    0.000    0.000    7.188    0.599 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\optimize\optimize.py:1984(_minimize_scalar_brent)
       12    0.002    0.000    7.188    0.599 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\optimize\optimize.py:1812(optimize)
       12    0.000    0.000    2.493    0.208 C:\Users\Emily\Anaconda3\lib\site-packages\scipy\optimize\optimize.py:1781(get_bracket_info)
        1    0.000    0.000    2.188    2.188 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:572(SynthesiseRF)
        1    0.004    0.004    2.173    2.173 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:586(_SynthesiseWV)
89693/349    1.764    0.000    2.166    0.006 C:\Users\Emily\OneDrive\Documents\WORK\MATLAB\Scattered_Waves\RJMCMC\pipeline.py:656(_CalcPropagatorMatrix)
   344154    0.274    0.000    2.137    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:239(hstack)
   227906    1.924    0.000    1.924    0.000 {built-in method numpy.linalg.lapack_lite.zgelsd}
   344154    0.238    0.000    1.308    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:288(<listcomp>)
  1609924    1.141    0.000    1.141    0.000 {built-in method numpy.core.multiarray.array}
   688660    0.598    0.000    1.071    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:11(atleast_1d)
   172188    0.124    0.000    0.989    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:182(vstack)
   517112    0.786    0.000    0.786    0.000 {built-in method numpy.core.multiarray.concatenate}
   317474    0.773    0.000    0.773    0.000 {built-in method numpy.core.multiarray.matmul}
  1312590    0.761    0.000    0.761    0.000 {built-in method numpy.core.multiarray.zeros}
   172188    0.119    0.000    0.637    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:237(<listcomp>)
   114197    0.336    0.000    0.572    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:139(_commonType)
  1042505    0.260    0.000    0.526    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numeric.py:534(asanyarray)
   344406    0.299    0.000    0.518    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\shape_base.py:63(atleast_2d)
      317    0.002    0.000    0.493    0.002 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\__init__.py:1628(inner)
      316    0.003    0.000    0.479    0.002 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_axes.py:1295(plot)
    58219    0.099    0.000    0.423    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numeric.py:2365(identity)
   113953    0.179    0.000    0.402    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:180(_fastCopyAndTranspose)
   227931    0.166    0.000    0.334    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:106(_makearray)
   113953    0.334    0.000    0.334    0.000 {built-in method numpy.linalg.lapack_lite.dgelsd}
        9    0.000    0.000    0.286    0.032 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\figure.py:978(add_subplot)
        9    0.000    0.000    0.285    0.032 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_subplots.py:23(__init__)
        9    0.000    0.000    0.284    0.032 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:420(__init__)
  348/276    0.005    0.000    0.266    0.001 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axis.py:68(__init__)
      316    0.004    0.000    0.258    0.001 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:2216(autoscale_view)
   113961    0.078    0.000    0.256    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:504(transpose)
    58223    0.171    0.000    0.238    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\lib\twodim_base.py:139(eye)
      108    0.001    0.000    0.237    0.002 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axis.py:742(cla)
      632    0.017    0.000    0.232    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:2250(handle_single_axis)
  144/108    0.002    0.000    0.220    0.002 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axis.py:780(reset_ticks)
   227906    0.207    0.000    0.207    0.000 {built-in method numpy.core.multiarray._fastCopyAndTranspose}
        6    0.000    0.000    0.195    0.032 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\pyplot.py:964(subplot)
   114930    0.190    0.000    0.190    0.000 {method 'astype' of 'numpy.ndarray' objects}
   113953    0.147    0.000    0.189    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:168(_to_native_byte_order)
     1360    0.027    0.000    0.187    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\lines.py:295(__init__)
   115494    0.100    0.000    0.186    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
        9    0.001    0.000    0.173    0.019 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:956(cla)
   236233    0.071    0.000    0.149    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\core\numeric.py:463(asarray)
   342107    0.098    0.000    0.147    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:124(_realType)
   342351    0.101    0.000    0.144    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:111(isComplexType)
   570046    0.144    0.000    0.144    0.000 {built-in method builtins.min}
  182/146    0.001    0.000    0.138    0.001 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axis.py:2074(_get_tick)
      316    0.002    0.000    0.129    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:1748(add_line)
  166/130    0.001    0.000    0.128    0.001 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axis.py:1743(_get_tick)
   113953    0.077    0.000    0.126    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:223(_assertNoEmpty2d)
  1268912    0.124    0.000    0.124    0.000 {method 'append' of 'list' objects}
  1278734    0.115    0.000    0.115    0.000 {built-in method builtins.len}
       36    0.000    0.000    0.113    0.003 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\spines.py:179(cla)
        2    0.000    0.000    0.110    0.055 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\pyplot.py:1305(tight_layout)
        2    0.000    0.000    0.110    0.055 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\figure.py:1975(tight_layout)
        2    0.000    0.000    0.104    0.052 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\tight_layout.py:262(get_tight_layout_figure)
        2    0.000    0.000    0.104    0.052 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\tight_layout.py:37(auto_adjust_subplotpars)
   115855    0.103    0.000    0.103    0.000 {method 'copy' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.102    0.020 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\tight_layout.py:129(<listcomp>)
        5    0.000    0.000    0.102    0.020 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:3927(get_tightbbox)
        9    0.000    0.000    0.100    0.011 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:608(_init_axis)
       10    0.000    0.000    0.096    0.010 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axis.py:1082(get_tightbbox)
        5    0.000    0.000    0.092    0.018 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\pyplot.py:1340(title)
       19    0.000    0.000    0.092    0.005 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\pyplot.py:941(gca)
       19    0.000    0.000    0.091    0.005 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\figure.py:1565(gca)
    58833    0.059    0.000    0.087    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
      632    0.001    0.000    0.080    0.000 C:\Users\Emily\Anaconda3\lib\site-packages\matplotlib\axes\_base.py:398(_grab_next_args)
   570594    0.080    0.000    0.080    0.000 {built-in method builtins.issubclass}
